#Frame            All     All[Max]
     394      21.6070      41.2833
     395      21.6638      41.1488
     396      21.7204      41.1417
     397      21.7101      41.3340
     398      21.6349      41.4385
     399      21.6502      40.1141
     400      21.7497      39.6521
     401      21.4830      39.5006
     402      21.5367      40.3993
     403      21.5416      40.6171
     404      21.5551      39.9264
     405      21.7520      40.6918
     406      21.5874      40.6278
     407      21.5037      40.6526
     408      21.4258      39.2582
     409      21.5741      39.2186
     410      21.3470      38.6433
     411      21.5119      39.1606
     412      21.4647      39.8996
     413      21.4829      39.6477
     414      21.4012      39.1972
     415      21.5191      39.2844
     416      21.3061      38.9924
     417      21.3727      38.7283
     418      21.2993      39.1474
     419      21.3282      38.1975
     420      21.2777      39.4102
     421      21.3483      38.6462
     422      21.4440      38.8259
     423      21.3903      39.9619
     424      21.3182      39.4612
     425      21.3687      39.5807
     426      21.4744      39.9079
     427      21.5126      40.5924
     428      21.5218      40.0651
     429      21.4047      39.4822
     430      21.6276      39.9431
     431      21.6204      40.2722
     432      21.6571      40.0994
     433      21.5002      39.2520
     434      21.5622      40.1205
     435      21.6389      41.0992
     436      21.7895      40.4926
     437      21.7812      40.7297
     438      21.7190      40.4888
     439      21.9198      42.1335
     440      21.8982      39.8143
     441      21.8878      40.7764
     442      21.8332      39.8280
     443      21.7789      40.1157
     444      21.7100      40.2762
     445      21.7006      40.0596
     446      21.6609      40.2511
     447      21.6007      40.1720
     448      21.7053      39.6029
     449      21.6656      39.7736
     450      21.6115      39.8086
     451      21.4283      38.8999
     452      21.5337      40.9202
     453      21.5082      40.3964
     454      21.3707      40.5133
     455      21.4627      39.7032
     456      21.1530      38.8648
     457      21.2244      39.7365
     458      21.1099      39.2352
     459      21.1277      39.0411
     460      21.0777      38.6858
     461      20.9685      38.5268
     462      21.0198      38.5280
     463      20.9751      38.6775
     464      21.1209      38.5431
     465      21.2862      38.7745
     466      21.3060      38.8351
     467      21.4941      39.1041
     468      21.3800      39.6459
     469      21.4491      39.5582
     470      21.3261      39.8971
     471      21.4470      40.2293
     472      21.5682      40.3815
     473      21.6042      40.4158
     474      21.5852      40.0580
     475      21.5567      40.2422
     476      21.7151      40.9277
     477      21.7046      40.5927
     478      21.7618      41.1871
     479      21.8714      42.2418
     480      21.9495      41.2780
     481      21.8831      41.7084
     482      21.7846      41.2588
     483      21.7751      41.2857
     484      21.7037      40.4237
     485      21.7753      40.4907
     486      21.7205      40.5198
     487      21.6737      40.3612
     488      21.7364      40.3384
     489      21.5861      40.2514
     490      21.6094      40.0405
     491      21.5293      40.7039
     492      21.5322      40.8253
     493      21.4291      39.9940
     494      21.4987      40.5311
     495      21.4437      39.4286
     496      21.4651      40.4785
     497      21.4836      40.3273
     498      21.7678      41.1988
     499      21.6631      40.2866
     500      21.6214      40.4150
     501      21.8611      40.7535
     502      21.9506      41.1796
     503      21.9079      42.0059
     504      21.8931      41.4119
     505      21.8203      41.2332
     506      21.9303      41.6626
     507      21.8528      41.3688
     508      21.8015      40.4018
     509      22.1267      41.0008
     510      22.0749      40.8962
     511      22.1553      41.2727
     512      22.0504      40.7854
     513      21.8442      40.5500
     514      21.5865      40.3187
     515      21.7993      40.6766
     516      21.7667      41.0656
     517      21.6575      40.5391
     518      21.7550      40.6074
     519      21.8598      40.5267
     520      21.8849      39.9199
     521      21.8496      40.6886
     522      21.7422      39.9575
     523      21.7491      40.1580
     524      21.7308      40.7376
     525      21.9372      40.3108
     526      22.1179      40.0642
     527      22.0393      40.7865
     528      22.0219      40.1780
     529      21.8712      40.0614
     530      21.8746      40.6837
     531      21.9784      40.4734
     532      21.8459      39.9922
     533      21.9760      39.6404
     534      21.9406      40.2544
     535      21.9939      41.1687
     536      22.1019      41.4072
     537      22.0137      40.6786
     538      22.0663      40.6074
     539      22.1120      40.6459
     540      22.0981      39.7686
     541      22.0936      40.6017
     542      22.1082      39.9544
     543      21.9908      40.0247
     544      22.0950      40.5498
     545      22.1317      40.6060
     546      22.1205      41.1995
     547      22.0827      40.9410
     548      21.9911      40.6767
     549      22.0361      40.1019
     550      21.9055      39.0745
     551      21.9188      39.6084
     552      22.0054      40.0267
     553      21.9141      40.2640
     554      21.9112      40.5919
     555      22.0593      40.5874
     556      22.0022      41.7125
     557      22.0709      40.9565
     558      22.0977      40.9764
     559      21.9656      40.6402
     560      21.9913      40.7036
     561      22.0912      41.0107
     562      22.0071      41.2042
     563      22.1174      40.8445
     564      22.2788      41.3522
     565      22.1626      41.0862
     566      22.1944      41.3589
     567      22.0675      41.1823
     568      22.1199      40.9003
     569      22.0789      40.6158
     570      22.0922      41.1483
     571      22.0798      40.7409
     572      22.1462      41.2067
     573      22.1487      41.6001
     574      22.0614      41.3833
     575      22.0698      41.8200
     576      22.0619      41.7284
     577      22.0262      41.2795
     578      22.1394      40.9331
     579      21.9947      40.9385
     580      21.9302      40.5186
     581      22.0390      40.9368
     582      22.0746      40.5949
     583      21.9775      40.8016
     584      22.0717      28.3833
     585      22.2688      41.6809
     586      22.3425      41.3933
     587      22.4673      40.8971
     588      22.3190      40.9736
     589      22.2881      40.2621
     590      22.1983      41.1001
     591      22.1970      41.1206
     592      22.2200      40.9985
     593      22.2998      41.2967
     594      22.2591      41.7655
     595      22.1928      41.2585
     596      22.1835      41.0991
     597      22.2009      40.9944
     598      22.2780      41.4459
     599      22.1523      40.8470
     600      22.2283      41.5570
     601      22.2700      41.9686
     602      22.2561      41.2890
     603      22.2205      41.4800
     604      22.2617      41.1810
     605      21.9381      40.6516
     606      21.9585      41.0245
     607      21.9907      40.8226
     608      21.9120      41.1062
     609      21.9051      40.2555
     610      21.9016      40.3582
     611      21.9664      40.4130
     612      21.9035      40.6925
     613      21.8248      40.5230
     614      21.7866      40.4664
     615      22.0376      40.8418
     616      21.8444      40.7859
     617      21.7166      40.4200
     618      21.6976      40.6394
     619      21.6226      41.0316
     620      21.6085      40.1683
     621      21.6660      40.6406
     622      21.6567      40.3617
     623      21.7242      40.4314
     624      21.6416      40.3545
     625      21.6457      40.2498
     626      21.5195      39.1213
     627      21.5707      39.7369
     628      21.6885      40.2082
     629      21.6684      40.0608
     630      21.5145      40.2366
     631      21.3966      39.8056
     632      21.2377      39.7461
     633      21.2440      39.0270
     634      21.3329      39.2722
     635      21.3775      40.3472
     636      21.3832      39.9715
     637      21.4104      39.8145
     638      21.4340      39.8561
     639      21.4293      39.7954
     640      21.5091      39.4721
     641      21.5053      39.7653
     642      21.5234      39.9843
     643      21.6016      40.1772
     644      21.4874      39.6757
     645      21.4951      39.8804
     646      21.5977      40.1589
     647      21.5070      39.9121
     648      21.6046      40.3017
     649      21.5360      40.6665
     650      21.3379      40.0359
     651      21.4776      39.8324
     652      21.3895      39.4758
     653      21.3146      39.7676
     654      21.2817      40.0359
     655      21.3209      39.7991
     656      21.1911      38.5923
     657      21.1743      39.2236
     658      21.2371      38.9835
     659      21.3385      39.2604
     660      21.4247      39.1591
     661      21.3957      38.6518
     662      21.2104      38.7732
     663      21.3548      39.1846
     664      21.3493      39.4432
     665      21.3615      38.7354
     666      21.3610      38.6935
     667      21.4410      38.1413
     668      21.3889      38.5778
     669      21.4104      38.8599
     670      21.4203      39.9822
     671      21.5060      40.0475
     672      21.6035      39.5949
     673      21.4753      39.8846
     674      21.4520      39.6801
     675      21.4708      39.0212
     676      21.6091      39.0053
     677      21.8074      39.9443
     678      21.7624      40.2384
     679      21.5454      39.5523
     680      21.6571      39.8130
     681      21.8105      40.6639
     682      21.8221      40.9249
     683      21.9139      40.8917
     684      21.8987      40.6760
     685      21.7897      40.4079
     686      21.8112      41.1676
     687      21.6717      40.2107
     688      21.7546      41.0344
     689      21.7064      40.3054
     690      21.6852      39.5322
     691      21.8319      40.5877
     692      21.7995      40.7823
     693      21.8013      41.5456
     694      21.8507      41.9702
     695      21.8131      41.6529
     696      21.9312      40.8734
     697      21.8792      40.6893
     698      21.8103      41.6245
     699      21.9440      41.1990
     700      21.8739      40.8665
     701      21.9487      40.9862
     702      21.8446      40.5578
     703      21.8489      41.1141
     704      21.8451      40.8209
     705      21.8269      40.2276
     706      21.6613      39.8569
     707      21.7017      39.8289
     708      21.7174      40.3297
     709      21.6902      39.3538
     710      21.7469      39.0085
     711      21.6640      40.5288
     712      21.6647      40.3541
     713      21.5018      40.2996
     714      21.5425      40.2516
     715      21.5437      41.0080
     716      21.5077      40.1927
     717      21.5396      39.7799
     718      21.5210      40.3714
     719      21.4856      40.4538
     720      21.7904      40.3715
     721      21.6525      41.8966
     722      21.7646      40.8789
     723      21.7102      41.6568
     724      21.7052      41.8007
     725      21.7347      42.2022
     726      21.8203      42.1484
     727      21.9341      42.7943
     728      21.9006      42.1076
     729      21.8928      41.7854
     730      21.7758      41.7624
     731      21.6664      41.5037
     732      21.7463      42.2202
     733      21.8761      42.2738
     734      21.9396      42.7849
     735      21.8135      42.5434
     736      21.9968      42.5211
     737      22.1471      42.4360
     738      21.9877      42.4056
     739      21.8675      42.2457
     740      21.8283      42.2638
     741      21.8963      41.7186
     742      21.7987      42.0194
     743      21.7632      41.6474
     744      21.8886      41.8033
     745      21.8687      40.9602
     746      21.9306      40.1641
     747      22.0972      42.1472
     748      22.0418      41.8133
     749      21.9511      41.4528
     750      21.9139      41.3007
     751      21.9426      41.2945
     752      22.0075      40.5221
     753      22.0708      40.9968
     754      22.1500      41.3267
     755      22.2414      41.1020
     756      22.1072      41.4805
     757      22.2376      41.4455
     758      22.3260      41.1830
     759      22.3608      42.7637
     760      22.3551      42.7065
     761      22.3631      42.6793
     762      22.4154      42.5865
     763      22.3760      42.4899
     764      22.3579      42.4866
     765      22.3977      42.1529
     766      22.4262      43.2929
     767      22.3652      43.0661
     768      22.3428      42.0027
     769      22.2360      41.8568
     770      22.3533      43.0796
     771      22.2704      42.8256
     772      22.3959      42.5521
     773      22.3763      43.0023
     774      22.3767      43.4114
     775      22.3496      42.8884
     776      22.2490      42.5660
     777      22.2852      42.6891
     778      22.2124      42.4706
     779      22.1514      41.9931
     780      22.4186      42.7252
     781      22.4232      42.6047
     782      22.4586      42.9288
     783      22.3827      41.7594
     784      22.5215      43.0976
     785      22.4894      42.9496
     786      22.4674      43.1211
     787      22.2891      42.8420
     788      22.1058      42.1611
     789      22.3349      42.9585
     790      22.2398      42.1099
     791      22.2130      42.3568
     792      22.1849      42.1380
     793      22.2572      42.1932
     794      22.3457      42.4946
     795      22.3547      41.9610
     796      22.3925      43.4387
     797      22.2825      42.5021
     798      22.0906      41.8658
     799      22.0055      41.6031
     800      22.2201      42.1782
     801      22.3035      42.8585
     802      22.3905      42.7549
     803      22.4430      42.5479
     804      22.2540      42.3771
     805      22.4411      42.4399
     806      22.5197      42.9199
     807      22.6669      43.2192
     808      22.4810      42.1980
     809      22.5635      42.3982
     810      22.5248      41.8568
     811      22.3443      42.4152
     812      22.4084      42.0751
     813      22.5223      42.6782
     814      22.5295      41.9690
