#Frame            All     All[Max]
     407      24.5146      36.3780
     408      24.5325      35.9319
     409      24.4820      36.2208
     410      24.5165      35.9327
     411      24.5757      36.2565
     412      24.4027      36.3906
     413      24.4673      36.5218
     414      24.3733      36.4606
     415      24.4496      36.5580
     416      24.6212      36.7259
     417      24.4416      36.4692
     418      24.6038      36.5270
     419      24.7193      36.6679
     420      24.6850      36.1130
     421      24.8082      37.1592
     422      24.9308      37.7303
     423      24.8822      36.9612
     424      24.7608      36.7378
     425      24.8572      37.5889
     426      24.8828      37.1027
     427      24.9478      37.7263
     428      24.9628      37.3646
     429      24.9301      37.2048
     430      24.9260      37.0143
     431      25.1945      37.4286
     432      25.1518      37.0838
     433      25.1109      36.7125
     434      25.1139      37.3320
     435      25.1643      36.5911
     436      25.1606      36.9675
     437      25.4077      37.5363
     438      25.0967      36.9077
     439      24.9045      35.8928
     440      25.0255      36.5054
     441      25.1072      36.6284
     442      24.8863      35.8173
     443      24.8646      35.6231
     444      24.6515      35.3348
     445      24.5120      35.0652
     446      24.3989      34.7822
     447      24.4287      35.0842
     448      24.4695      35.2768
     449      24.4917      35.5238
     450      24.2696      35.1442
     451      24.4112      34.9277
     452      24.3349      34.5614
     453      24.3943      34.7555
     454      24.5875      35.0475
     455      24.5377      34.9503
     456      24.6055      35.3269
     457      24.5549      35.4928
     458      24.4923      34.9607
     459      24.6495      35.2912
     460      24.7244      35.8759
     461      24.3976      35.1859
     462      24.4519      34.8783
     463      24.3095      34.1316
     464      24.7226      34.7718
     465      24.4952      34.0762
     466      24.6390      35.2127
     467      24.5609      35.0971
     468      24.3822      34.5835
     469      24.4556      34.5898
     470      24.4489      35.1558
     471      24.5580      34.6216
     472      24.4334      34.9075
     473      24.4888      35.4902
     474      24.4284      35.1158
     475      24.7707      35.9992
     476      24.6412      35.6950
     477      24.6528      35.5398
     478      24.7693      35.6616
     479      24.8054      35.4815
     480      24.8570      35.2536
     481      24.7245      35.3671
     482      24.6720      35.2460
     483      24.7081      35.6330
     484      24.9333      36.5750
     485      24.8209      35.6302
     486      24.8705      35.9295
     487      24.8969      36.0645
     488      24.9087      36.2540
     489      24.8892      36.4701
     490      24.9235      36.4766
     491      24.7683      36.5277
     492      24.8056      36.1722
     493      24.7551      35.9991
     494      24.7180      36.1527
     495      24.6025      35.7297
     496      24.5514      36.0719
     497      24.6886      36.6176
     498      24.6441      35.9585
     499      24.5471      36.2229
     500      24.5598      36.0301
     501      24.6871      36.1742
     502      24.7761      35.4321
     503      24.8384      35.9540
     504      24.8096      36.0730
     505      24.7767      35.4362
     506      24.7791      35.9218
     507      24.8025      36.1164
     508      24.8072      36.2331
     509      24.5812      36.0341
     510      24.6390      35.8794
